invoice_id,product_name,quantity,unit_price
INV1016,Ban Mi,5.0,20000vnd
INV1044,Kem Danh Rang,2.0,15000
INV1012,Nuoc Ngot,4.0,12000
INV1037,Kem Danh Rang,1.0,18000
INV1003,Sua Tuoi,2.0, 30000 
INV1058,Dau An,3.0,12000
INV1032,Sua Tuoi,3.0,12000
INV1038,Sua Tuoi,4.0,20000vnd
INV1007,Dau An,4.0, 30000 
INV1038,Sua Tuoi,2.0,20000vnd
INV1042,Dau An,,18000
INV1013,Kem Danh Rang,,15000
INV1016,Ban Mi,3.0,18000
INV1029,Nuoc Ngot,2.0,12000
INV1029,Dau An,2.0,12000
INV1034,Mi Goi,5.0,15000
INV1059,Nuoc Ngot,2.0,15000
INV1023,Nuoc Ngot,3.0,20000vnd
INV1053,Dau An,5.0, 30000 
INV1051,Kem Danh Rang,1.0, 30000 
INV1019,Kem Danh Rang,2.0,15000
INV1016,Sua Tuoi,2.0, 30000 
INV1009,Nuoc Ngot,5.0, 30000 
INV1013,Kem Danh Rang,,15000
INV1043,Kem Danh Rang,5.0, 30000 
INV1031,Nuoc Ngot,1.0,12000
INV1040,Ban Mi,5.0,12000
INV1000,Nuoc Ngot,3.0,18000
INV1010,Kem Danh Rang,2.0, 30000 
INV1045,Ban Mi,1.0,12000
INV1004,Kem Danh Rang,3.0, 30000 
INV1002,Nuoc Ngot,3.0,20000vnd
INV1008,Sua Tuoi,5.0,18000
INV1057,Sua Tuoi,,15000
INV1043,Mi Goi,2.0,18000
INV1049,Dau An,, 30000 
INV1047,Mi Goi,4.0,15000
INV1051,Mi Goi,,12000
INV1011,Kem Danh Rang,,20000vnd
INV1051,Kem Danh Rang,4.0,18000
INV1010,Kem Danh Rang,2.0,20000vnd
INV1055,Sua Tuoi,2.0,15000
INV1012,Ban Mi,,18000
INV1052,Mi Goi,4.0,12000
INV1042,Mi Goi,,18000
INV1017,Sua Tuoi,5.0,18000
INV1041,Dau An,, 30000 
INV1021,Sua Tuoi,2.0,18000
INV1011,Dau An,5.0,12000
INV1006,Dau An,,18000
INV1046,Nuoc Ngot,, 30000 
INV1032,Sua Tuoi,, 30000 
INV1012,Nuoc Ngot,1.0,20000vnd
INV1000,Dau An,4.0,18000
INV1027,Sua Tuoi,, 30000 
INV1020,Kem Danh Rang,2.0,18000
INV1032,Nuoc Ngot,,18000
INV1025,Kem Danh Rang,5.0, 30000 
INV1008,Mi Goi,,20000vnd
INV1043,Kem Danh Rang,3.0, 30000 
INV1036,Nuoc Ngot,, 30000 
INV1053,Sua Tuoi,5.0,18000
INV1013,Ban Mi,,20000vnd
INV1028,Ban Mi,4.0, 30000 
INV1030,Kem Danh Rang,3.0,12000
INV1018,Dau An,,12000
INV1052,Mi Goi,5.0,15000
INV1051,Mi Goi,3.0,12000
INV1002,Mi Goi,2.0, 30000 
INV1054,Sua Tuoi,2.0,20000vnd
INV1056,Kem Danh Rang,4.0,20000vnd
INV1031,Ban Mi,4.0,15000
INV1041,Kem Danh Rang,1.0,12000
INV1049,Ban Mi,4.0,15000
INV1051,Kem Danh Rang,2.0,12000
INV1035,Mi Goi,2.0,20000vnd
INV1008,Ban Mi,,20000vnd
INV1039,Kem Danh Rang,, 30000 
INV1028,Mi Goi,2.0,20000vnd
INV1016,Mi Goi,5.0, 30000 
INV1031,Kem Danh Rang,4.0,18000
INV1028,Sua Tuoi,5.0,15000
INV1017,Nuoc Ngot,, 30000 
INV1005,Mi Goi,3.0,15000
INV1024,Kem Danh Rang,3.0,15000
INV1004,Ban Mi,,18000
INV1034,Ban Mi,,12000
INV1013,Ban Mi,, 30000 
INV1044,Sua Tuoi,,20000vnd
INV1000,Nuoc Ngot,5.0,20000vnd
INV1054,Ban Mi,4.0,20000vnd
INV1014,Nuoc Ngot,,20000vnd
INV1001,Ban Mi,,20000vnd
INV1046,Mi Goi,2.0,15000
INV1039,Dau An,1.0,20000vnd
INV1037,Dau An,1.0,12000
INV1041,Ban Mi,3.0,20000vnd
INV1011,Sua Tuoi,5.0,20000vnd
INV1020,Mi Goi,2.0,18000
INV1021,Ban Mi,5.0,20000vnd
INV1016,Sua Tuoi,2.0,12000
INV1047,Dau An,1.0,18000
INV1014,Kem Danh Rang,2.0,12000
INV1048,Sua Tuoi,4.0,15000
INV1053,Sua Tuoi,3.0,15000
INV1008,Ban Mi,2.0, 30000 
INV1013,Ban Mi,5.0,18000
INV1010,Dau An,2.0,15000
INV1019,Sua Tuoi,1.0,18000
INV1036,Kem Danh Rang,,20000vnd
INV1045,Mi Goi,2.0, 30000 
INV1044,Kem Danh Rang,4.0,12000
INV1044,Nuoc Ngot,2.0, 30000 
INV1050,Sua Tuoi,, 30000 
INV1027,Kem Danh Rang,,12000
INV1032,Kem Danh Rang,,12000
INV1054,Ban Mi,2.0,12000
INV1027,Nuoc Ngot,2.0,15000
INV1027,Mi Goi,5.0, 30000 
INV1051,Dau An,2.0,20000vnd
