invoice_id,customer_id,date
INV1000,C114,
INV1001,C107,
INV1002,C108,
INV1003,C118,
INV1004,C104,
INV1005,C124,
INV1006,C104,
INV1007,C121,
INV1008,C112,
INV1009,C116,
INV1010,C100,
INV1011,C121,
INV1012,C108,
INV1013,C103,
INV1014,C114,
INV1015,C123,
INV1016,C124,
INV1017,C103,
INV1018,C120,
INV1019,C104,
INV1020,C117,
INV1021,C116,
INV1022,C110,
INV1023,C111,
INV1024,C109,
INV1025,C118,
INV1026,C123,
INV1027,C124,
INV1028,C104,
INV1029,C105,
INV1030,C119,
INV1031,C117,
INV1032,C106,
INV1033,C121,
INV1034,C116,
INV1035,C107,
INV1036,C118,
INV1037,C107,
INV1038,C120,
INV1039,C101,
INV1040,C116,
INV1041,C115,
INV1042,C123,
INV1043,C118,
INV1044,C115,
INV1045,C103,
INV1046,C111,
INV1047,C123,
INV1048,C120,
INV1049,C123,
INV1050,C103,
INV1051,C117,
INV1052,C105,
INV1053,C102,
INV1054,C117,
INV1055,C117,
INV1056,C124,
INV1057,C113,
INV1058,C112,
INV1059,C112,
